country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Estonia,Europe,-0.65,9.3,12.9,9.0,3.7,77.4,1.61,7400.0,100.0,99.8,31700.0,4.94,3.7,21.2,21.1
Eswatini,Africa,0.77,24.5,10.1,437.0,42.8,58.6,2.52,200000.0,2300.0,88.4,10100.0,28.0,6.2,16.5,63.0
Ethiopia,Africa,2.56,31.6,5.9,401.0,35.8,67.5,4.14,670000.0,12000.0,51.8,2200.0,17.5,9.9,4.5,29.6
Falkland Islands (Islas Malvinas),South America,0.01,10.9,4.9,,,77.9,,,,,70800.0,1.0,1.4,,
Faroe Islands,Europe,0.6000000000000001,14.9,8.8,,5.1,80.8,2.31,,,,40000.0,2.2,-0.30000000000000004,,10.0
Fiji,Oceania,0.5,17.4,6.3,34.0,8.8,73.7,2.31,1000.0,100.0,99.1,9800.0,4.5,3.4,30.2,31.0
Finland,Europe,0.30000000000000004,10.6,10.3,3.0,2.5,81.3,1.74,4000.0,100.0,,44500.0,6.63,0.8,22.2,
France,Europe,0.35000000000000003,11.9,9.6,8.0,3.2,82.2,2.06,190000.0,500.0,,44100.0,8.12,1.2,21.6,14.2
French Polynesia,Oceania,0.79,14.0,5.5,,4.5,77.9,1.83,,,,17000.0,21.8,0.0,,19.7
Gabon,Africa,2.5,26.3,5.9,252.0,30.4,69.0,3.41,51000.0,1100.0,84.7,18100.0,28.0,2.7,15.0,34.3
"Gambia, The",Africa,1.87,27.0,6.7,597.0,54.9,65.8,3.21,28000.0,1100.0,50.8,2600.0,,8.0,10.3,48.4
Gaza Strip,Middle East,2.13,28.6,3.0,27.0,14.9,74.9,3.64,,,97.2,,27.9,0.2,,30.0
Georgia,Asia,0.05,11.6,11.0,25.0,13.8,77.0,1.75,9100.0,100.0,99.4,10700.0,11.8,6.0,21.7,9.2
Germany,Europe,-0.19,8.6,12.1,7.0,3.3,81.1,1.47,87000.0,500.0,,50800.0,4.98,1.7000000000000002,22.3,16.7
Ghana,Africa,2.15,29.6,6.6,308.0,32.1,68.2,3.9,340000.0,14000.0,76.6,4700.0,11.9,12.4,10.9,24.2
Gibraltar,Europe,0.2,13.8,8.6,,5.6,80.0,1.9,,,,61700.0,1.0,2.5,,
Greece,Europe,-0.31,7.8,12.0,3.0,3.7,81.1,1.38,14000.0,100.0,97.7,27800.0,17.3,1.1,24.9,36.0
Greenland,Arctic Region,-0.08,14.1,9.0,,8.3,73.4,1.94,,,100.0,41800.0,9.1,0.30000000000000004,,16.2
